ProdCodeId	DMDCode	TermfromEMIS	ProductName	drugsubstancename	substancestrength	formulation	routeofadministration	bnfcode	DrugIssues
10616941000033112	30738811000001109	Vortioxetine 5mg tablets	Vortioxetine 5mg tablets	Vortioxetine hydrobromide	5.000mg	Tablet/ Oral Tablet	Oral	04030400	127970
10617041000033113	30738611000001105	Vortioxetine 10mg tablets	Vortioxetine 10mg tablets	Vortioxetine hydrobromide	10.000mg	Tablet/ Oral Tablet	Oral	04030400	252672
10617141000033112	30738711000001101	Vortioxetine 20mg tablets	Vortioxetine 20mg tablets	Vortioxetine hydrobromide	20.000mg	Tablet/ Oral Tablet	Oral	04030400	179700
10730041000033110	31016011000001103	Venlafaxine 225mg modified-release capsules	Venlafaxine 225mg modified-release capsules	Venlafaxine hydrochloride	225.000mg	Modified-release capsule	Oral	04030400	197586
11072841000033114	15000611000001107	Nortriptyline 10mg/5ml oral solution	Nortriptyline 10mg/5ml oral solution	Nortriptyline hydrochloride	2.000mg/1.000ml	Oral solution	Oral	04030100	123
11603841000033119	42271511000001101	Fluoxetine 10mg capsules	Fluoxetine 10mg capsules	Fluoxetine hydrochloride	10.000mg	Capsule/ Oral capsule	Oral	04030300	288182
11707441000033119	32960811000001102	Fluoxetine 30mg capsules	Fluoxetine 30mg capsules	Fluoxetine hydrochloride	30.000mg	Capsule/ Oral capsule	Oral	04030300	137609
11707541000033118	42271911000001108	Fluoxetine 40mg capsules	Fluoxetine 40mg capsules	Fluoxetine hydrochloride	40.000mg	Capsule/ Oral capsule	Oral	04030300	326120
11755441000033119	42276711000001100	Paroxetine 40mg tablets	Paroxetine 40mg tablets	Paroxetine hydrochloride	40.000mg	Tablet/ Oral Tablet	Oral	04030300	88968
12257841000033117	15000711000001103	Nortriptyline 10mg/5ml oral suspension	Nortriptyline 10mg/5ml oral suspension	Nortriptyline hydrochloride	2.000mg/1.000ml	Oral suspension	Oral	04030100	67
12292341000033116	34034111000001108	Nortriptyline 50mg tablets	Nortriptyline 50mg tablets	Nortriptyline hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030100	38402
12476541000033119	35113311000001104	Trazodone 100mg/5ml oral solution sugar free	Trazodone 100mg/5ml oral solution sugar free	Trazodone hydrochloride	20.000mg/1.000ml	Oral solution	Oral	04030100	2023
12900941000033117	13045911000001105	Sertraline 25mg/5ml oral suspension	Sertraline 25mg/5ml oral suspension	Sertraline hydrochloride	5.000mg/1.000ml	Oral suspension	Oral	04030300	919
13300841000033111	37868911000001103	Nortriptyline 10mg/5ml oral solution sugar free	Nortriptyline 10mg/5ml oral solution sugar free	Nortriptyline hydrochloride	2.000mg/1.000ml	Oral solution	Oral	04030100	282
13300941000033115	37869011000001107	Nortriptyline 25mg/5ml oral solution sugar free	Nortriptyline 25mg/5ml oral solution sugar free	Nortriptyline hydrochloride	5.000mg/1.000ml	Oral solution	Oral	04030100	83
13318341000033119	38003311000001102	Venlafaxine 300mg modified-release tablets	Venlafaxine 300mg modified-release tablets	Venlafaxine hydrochloride	300.000mg	Modified-release tablet	Oral	04030400	52059
13444241000033119	42280811000001102	Trazodone 50mg tablets	Trazodone 50mg tablets	Trazodone hydrochloride	50.000mg	Tablet/ Oral Tablet	Oral	04030100	25492
13444341000033112	42280511000001100	Trazodone 100mg tablets	Trazodone 100mg tablets	Trazodone hydrochloride	100.000mg	Tablet/ Oral Tablet	Oral	04030100	8990
13719241000033117	38976911000001105	Phenelzine 15mg capsules	Phenelzine 15mg capsules	Phenelzine sulfate	15.000mg	Capsule/ Oral capsule	Oral	04030200	427
13743641000033113	39134011000001104	Sertraline 25mg tablets	Sertraline 25mg tablets	Sertraline hydrochloride	25.000mg	Tablet/ Oral Tablet	Oral	04030300	293075
13898641000033112	39964811000001101	Duloxetine 90mg gastro-resistant capsules	Duloxetine 90mg gastro-resistant capsules	Duloxetine hydrochloride	90.000mg	Gastro-resistant capsule	Oral	04030400	52618
13898741000033115	39964711000001109	Duloxetine 120mg gastro-resistant capsules	Duloxetine 120mg gastro-resistant capsules	Duloxetine hydrochloride	120.000mg	Gastro-resistant capsule	Oral	04030400	24397
13916241000033115	40111011000001106	Venlafaxine 37.5mg/5ml oral solution sugar free	Venlafaxine 37.5mg/5ml oral solution sugar free	Venlafaxine hydrochloride	7.500mg/1.000ml	Oral solution	Oral	04030400	799
13916341000033113	40111111000001107	Venlafaxine 75mg/5ml oral solution sugar free	Venlafaxine 75mg/5ml oral solution sugar free	Venlafaxine hydrochloride	15.000mg/1.000ml	Oral solution	Oral	04030400	1360
14116141000033111	41166911000001105	Sertraline 150mg tablets	Sertraline 150mg tablets	Sertraline hydrochloride	150.000mg	Tablet/ Oral Tablet	Oral	04030300	24885
14116241000033116	41167011000001109	Sertraline 200mg tablets	Sertraline 200mg tablets	Sertraline hydrochloride	200.000mg	Tablet/ Oral Tablet	Oral	04030300	16153
14183941000033115	41535111000001102	Fluoxetine 20mg/5ml oral suspension	Fluoxetine 20mg/5ml oral suspension	Fluoxetine hydrochloride	4.000mg/1.000ml	Oral suspension	Oral	04030300	9
14190441000033119	41557011000001106	Sertraline 100mg/5ml concentrate for oral solution sugar free	Sertraline 100mg/5ml concentrate for oral solution sugar free	Sertraline hydrochloride	20.000mg/1.000ml	Oral solution/ Concentrate for oral solution	Oral	04030300	5977
14507641000033111	43159711000001104	Sertraline 50mg/5ml oral suspension sugar free	Sertraline 50mg/5ml oral suspension sugar free	Sertraline hydrochloride	10.000mg/1.000ml	Oral suspension	Oral	04030300	196
