ProdCodeId	dmdid	Term from EMIS	ProductName	Formulation	RouteOfAdministration	DrugSubstanceName	SubstanceStrength	BNFChapter
2944541000033111	42378111000001108	Olmesartan medoxomil 10mg tablets	Olmesartan medoxomil 10mg tablets	Tablet/ Oral Tablet	Oral	Olmesartan medoxomil	10.000mg	02050502
2944641000033112	42378411000001103	Olmesartan medoxomil 20mg tablets	Olmesartan medoxomil 20mg tablets	Tablet/ Oral Tablet	Oral	Olmesartan medoxomil	20.000mg	02050502
2944741000033115	42378811000001101	Olmesartan medoxomil 40mg tablets	Olmesartan medoxomil 40mg tablets	Tablet/ Oral Tablet	Oral	Olmesartan medoxomil	40.000mg	02050502
3161141000033116	42375211000001109	Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets	Irbesartan 150mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Irbesartan	12.500mg + 150.000mg	02050502
3161241000033111	42375411000001108	Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets	Irbesartan 300mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Irbesartan	12.500mg + 300.000mg	02050502
3161441000033112	42383911000001106	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets	Valsartan 160mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Valsartan	12.500mg + 160.000mg	02050502
3161541000033113	42384011000001109	Valsartan 160mg / Hydrochlorothiazide 25mg tablets	Valsartan 160mg / Hydrochlorothiazide 25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Valsartan	25.000mg + 160.000mg	02050502
3161741000033117	42376911000001107	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets	Losartan 50mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Losartan potassium	12.500mg + 50.000mg	02050502
3162641000033119	42382911000001104	Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan 40mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Telmisartan	12.500mg + 40.000mg	02050502
3162741000033111	42383111000001108	Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets	Telmisartan 80mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Telmisartan	12.500mg + 80.000mg	02050502
3190741000033112	42384611000001102	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets	Valsartan 80mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Valsartan	12.500mg + 80.000mg	02050502
3201341000033115	42384511000001101	Valsartan 40mg tablets	Valsartan 40mg tablets	Tablet/ Oral Tablet	Oral	Valsartan	40.000mg	02050502
3227241000033111	42371911000001102	Candesartan 32mg tablets	Candesartan 32mg tablets	Tablet/ Oral Tablet	Oral	Candesartan cilexetil	32.000mg	02050502
3346841000033117	42376611000001101	Losartan 100mg / Hydrochlorothiazide 25mg tablets	Losartan 100mg / Hydrochlorothiazide 25mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Losartan potassium	25.000mg + 100.000mg	02050502
3908941000033112	42378311000001105	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets	Olmesartan medoxomil 20mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Olmesartan medoxomil	12.500mg + 20.000mg	02050502
4424941000033113	42384311000001107	Valsartan 320mg tablets	Valsartan 320mg tablets	Tablet/ Oral Tablet	Oral	Valsartan	320.000mg	02050502
5005841000033114	42378211000001102	Olmesartan medoxomil 20mg / Amlodipine 5mg tablets	Olmesartan medoxomil 20mg / Amlodipine 5mg tablets	Tablet/ Oral Tablet	Oral	Amlodipine besilate/ Olmesartan medoxomil	5.000mg + 20.000mg	02050502
5005941000033118	42378611000001100	Olmesartan medoxomil 40mg / Amlodipine 5mg tablets	Olmesartan medoxomil 40mg / Amlodipine 5mg tablets	Tablet/ Oral Tablet	Oral	Amlodipine besilate/ Olmesartan medoxomil	5.000mg + 40.000mg	02050502
5006041000033111	42378511000001104	Olmesartan medoxomil 40mg / Amlodipine 10mg tablets	Olmesartan medoxomil 40mg / Amlodipine 10mg tablets	Tablet/ Oral Tablet	Oral	Amlodipine besilate/ Olmesartan medoxomil	10.000mg + 40.000mg	02050502
5566341000033111	42378711000001109	Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets	Olmesartan medoxomil 40mg / Hydrochlorothiazide 12.5mg tablets	Tablet/ Oral Tablet	Oral	Hydrochlorothiazide/ Olmesartan medoxomil	12.500mg + 40.000mg	02050502
6515441000033113	42384811000001103	Valsartan 80mg tablets	Valsartan 80mg tablets	Tablet/ Oral Tablet	Oral	Valsartan	80.000mg	02050502
6515541000033114	42384211000001104	Valsartan 160mg tablets	Valsartan 160mg tablets	Tablet/ Oral Tablet	Oral	Valsartan	160.000mg	02050502
7754941000033110	42370811000001104	Azilsartan medoxomil 40mg tablets	Azilsartan medoxomil 40mg tablets	Tablet/ Oral Tablet	Oral	Azilsartan medoxomil potassium	40.000mg	02050502
7755041000033110	42370911000001109	Azilsartan medoxomil 80mg tablets	Azilsartan medoxomil 80mg tablets	Tablet/ Oral Tablet	Oral	Azilsartan medoxomil potassium	80.000mg	02050502
6423941000033116	19281511000001102	Irbesartan 30mg oral powder sachets	Irbesartan 30mg oral powder sachets	Powder	Oral	Irbesartan	30.000mg	NA
8193941000033116	21522211000001102	Sabervel 75mg tablets (Aspire Pharma Ltd)	Sabervel 75mg tablets	Tablet	Oral	Irbesartan	75.000mg	NA
8194041000033119	21522411000001103	Sabervel 150mg tablets (Aspire Pharma Ltd)	Sabervel 150mg tablets	Tablet	Oral	Irbesartan	150.000mg	NA
8194141000033115	21522611000001100	Sabervel 300mg tablets (Aspire Pharma Ltd)	Sabervel 300mg tablets	Tablet	Oral	Irbesartan	300.000mg	NA
8027841000033119	NA	Exforge Tablets 5 mg/320 mg	NA	NA	NA	Amlodipine besilate/ Valsartan	NA	NA
8027941000033110	NA	Exforge Tablets 10 mg/320 mg	NA	NA	NA	Amlodipine besilate/ Valsartan	NA	NA
8030141000033111	NA	Teveten Plus Tablets 600 mg/12.5 mg	NA	NA	NA	Eprosartan	NA	NA
8029241000033113	NA	Exforge Hct Tablets 5 mg/160 mg/12.5 mg	NA	NA	NA	Amlodipine besilate/ Valsartan	NA	NA
8029341000033115	NA	Exforge Hct Tablets 5 mg/160 mg/25 mg	NA	NA	NA	Amlodipine besilate/ Valsartan	NA	NA
